,CHE 201,MTH 201,MEE 203,MEE 205,CSC 201,EEE 203,EEE 291,MSE 201,gpa
0,41,35,56,53,65,74,37,79,2.727272727272727
1,75,56,44,70,86,62,68,78,4.090909090909091
2,75,52,55,45,22,77,30,61,3.0
3,47,84,90,31,62,81,64,22,3.0454545454545454
4,51,60,59,84,76,74,23,64,4.0
5,64,44,44,33,48,43,58,87,2.0454545454545454
6,24,29,51,28,86,42,46,64,1.7272727272727273
7,91,59,74,54,24,69,89,38,2.8636363636363638
8,32,63,88,57,81,47,31,48,2.8181818181818183
9,61,28,69,39,24,57,30,85,2.0
10,39,56,78,60,27,86,61,41,2.5454545454545454
11,76,43,72,78,39,65,36,24,2.5454545454545454
12,49,54,58,21,32,82,25,91,2.4545454545454546
13,42,49,84,67,50,82,58,24,2.727272727272727
14,84,73,73,32,64,46,24,31,2.8636363636363638
15,38,36,75,23,71,88,29,41,1.9545454545454546
16,78,55,68,35,27,69,44,40,2.3181818181818183
17,25,83,84,74,80,87,81,30,3.6363636363636362
18,67,76,65,49,69,84,91,88,4.2272727272727275
19,87,91,54,90,24,71,36,51,3.6363636363636362
20,46,76,86,75,49,52,51,54,3.5454545454545454
21,83,21,53,56,40,68,36,22,2.0454545454545454
22,42,41,33,40,23,53,85,58,1.5
23,21,26,62,36,33,64,68,21,1.0909090909090908
24,78,45,40,56,91,25,43,86,2.9545454545454546
25,38,74,69,35,78,65,75,76,3.409090909090909
26,61,48,47,27,81,59,20,32,2.1818181818181817
27,42,75,49,71,38,25,81,75,2.8181818181818183
28,42,48,76,67,81,89,83,74,3.772727272727273
29,85,32,59,56,64,34,35,22,1.9090909090909092
30,44,27,57,82,58,80,55,44,2.4545454545454546
31,90,32,84,62,70,32,47,32,2.4545454545454546
32,34,78,32,40,44,71,38,26,1.8636363636363635
33,53,30,73,37,70,52,49,63,2.590909090909091
34,30,67,25,74,74,53,86,90,3.409090909090909
35,31,29,52,25,74,60,54,29,1.6363636363636365
36,25,26,27,24,49,85,62,59,1.5454545454545454
37,44,51,84,88,55,28,79,28,2.4545454545454546
38,53,63,55,81,51,34,85,44,2.8636363636363638
39,41,79,30,39,23,33,59,22,1.1818181818181819
40,23,76,22,60,69,71,83,24,2.909090909090909
41,49,42,53,85,91,90,77,78,3.6818181818181817
42,38,43,63,34,27,27,39,88,1.2272727272727273
43,38,70,45,88,67,70,57,34,3.1363636363636362
44,47,88,63,56,84,47,39,24,2.909090909090909
45,48,36,47,73,72,22,58,27,1.9545454545454546
46,62,77,75,30,83,73,87,62,4.045454545454546
47,72,41,86,68,67,63,66,43,3.272727272727273
48,22,38,31,23,30,65,38,56,0.9545454545454546
49,44,60,52,82,46,48,21,39,2.3636363636363638
50,35,52,73,83,45,30,33,89,2.6363636363636362
51,84,38,83,84,54,83,41,83,3.6363636363636362
52,26,52,45,61,90,77,82,29,2.8636363636363638
53,23,78,29,82,71,86,37,77,3.6363636363636362
54,25,79,75,52,61,40,87,57,3.090909090909091
55,85,35,85,64,58,21,22,46,2.3636363636363638
56,58,64,64,69,79,33,75,80,3.6363636363636362
57,67,49,76,55,26,38,48,22,1.8636363636363635
58,86,87,23,32,89,39,34,53,2.6818181818181817
59,76,69,66,41,50,22,50,77,3.1363636363636362
60,69,42,41,67,31,91,70,31,2.272727272727273
61,55,58,43,74,86,58,33,71,3.5
62,58,85,26,22,27,87,38,91,2.6818181818181817
63,85,62,82,58,56,61,29,78,3.909090909090909
64,58,44,59,37,85,89,20,44,2.3636363636363638
65,49,21,61,78,67,60,44,46,2.727272727272727
66,68,42,52,77,36,65,73,43,2.590909090909091
67,80,72,53,60,58,53,64,20,3.409090909090909
68,90,56,86,46,36,62,38,24,2.5
69,58,61,38,33,46,41,36,33,1.5454545454545454
70,24,90,90,28,51,78,55,22,2.590909090909091
71,44,76,39,36,88,65,25,70,2.9545454545454546
72,58,42,33,61,75,88,36,21,2.5
73,74,77,30,51,72,85,84,74,4.2727272727272725
74,22,67,78,84,27,56,49,90,3.0454545454545454
75,72,88,83,53,83,36,68,65,3.8636363636363638
76,80,65,37,79,74,75,48,44,3.6818181818181817
77,87,48,65,84,66,74,87,57,3.9545454545454546
78,28,27,23,31,42,54,91,55,1.1818181818181819
79,58,61,87,21,79,67,48,36,2.909090909090909
80,73,23,77,39,67,71,80,82,3.272727272727273
81,57,88,87,91,76,65,86,46,4.181818181818182
82,33,37,53,86,34,50,70,41,1.7272727272727273
83,80,52,59,27,64,75,64,24,2.909090909090909
84,34,43,45,49,53,74,67,66,2.4545454545454546
85,32,34,54,44,63,91,71,89,2.5454545454545454
86,25,51,87,73,39,83,53,37,2.5
87,43,59,59,31,34,82,55,55,2.1818181818181817
88,54,56,41,53,77,66,54,42,2.9545454545454546
89,29,90,60,36,36,74,31,66,2.5
90,91,79,44,68,43,39,38,46,2.6363636363636362
91,87,47,79,40,59,65,84,79,3.5
92,87,84,87,36,73,60,64,46,3.727272727272727
93,53,48,68,39,74,46,89,77,3.0
94,90,68,77,59,81,89,35,67,4.181818181818182
95,87,32,22,56,58,38,45,52,2.0
96,71,78,75,67,45,37,67,65,3.590909090909091
97,32,32,48,62,27,79,61,76,2.272727272727273
98,85,21,40,78,90,49,43,59,2.8636363636363638
99,63,27,61,52,86,66,38,45,2.8181818181818183
